Currency Code,Currency,DD Buying Rate,Mid Rates,DD Selling Rate,Bank,Date,Time
USD,US DOLLAR,297.53,303.6,309.67,Nations Trust,2024-07-25,16:37:18
GBP,BRITISH POUND,381.56,391.34,401.12,Nations Trust,2024-07-25,16:37:18
EUR,EUROP CURRENCY UNIT,319.23,329.1,338.98,Nations Trust,2024-07-25,16:37:18
JPY,JAPANESE YEN,1.91,1.99,2.07,Nations Trust,2024-07-25,16:37:18
NZD,NEW ZEALAND DOLLAR,173.47,179.76,186.05,Nations Trust,2024-07-25,16:37:18
HKD,HONG KONG DOLLAR,37.33,38.89,40.44,Nations Trust,2024-07-25,16:37:18
JOD,JORDANIAN DINAR,411.08,428.21,445.34,Nations Trust,2024-07-25,16:37:18
KWD,KUWAITI DINAR,953.56,993.29,1033.02,Nations Trust,2024-07-25,16:37:18
MYR,MALAYSIAN RINGGIT,62.39,64.99,67.59,Nations Trust,2024-07-25,16:37:18
NOK,NORWEGIAN KRONE,26.37,27.47,28.57,Nations Trust,2024-07-25,16:37:18
OMR,OMANI RIAL,757.06,788.6,820.15,Nations Trust,2024-07-25,16:37:18
QAR,QATARI RIYAL,79.93,83.26,86.59,Nations Trust,2024-07-25,16:37:18
SAR,SAUDI ARABIAN RIYAL,77.69,80.93,84.17,Nations Trust,2024-07-25,16:37:18
SEK,SWEDISH KRONA,27.02,28.15,29.28,Nations Trust,2024-07-25,16:37:18
SGD,SINGAPORE DOLLAR,217.99,225.9,233.81,Nations Trust,2024-07-25,16:37:18
THB,THAI BHAT,8.07,8.4,8.74,Nations Trust,2024-07-25,16:37:18
DKK,DANISH KRONE,42.34,44.1,45.86,Nations Trust,2024-07-25,16:37:18
CHF,SWISS FRANC,331.4,343.42,355.44,Nations Trust,2024-07-25,16:37:18
CAD,CANADIAN DOLLAR,212.01,219.7,227.39,Nations Trust,2024-07-25,16:37:18
BHD,BAHRAINI DINAR,773.11,805.33,837.54,Nations Trust,2024-07-25,16:37:18
AED,EMIRATI DIRHAM,79.35,82.66,85.97,Nations Trust,2024-07-25,16:37:18
AUD,AUSTRALIAN DOLLAR,192.07,199.04,206.01,Nations Trust,2024-07-25,16:37:18
